timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
156,0,"[0, 1, 2, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0], [1, 2, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.312
156,1,[3],"const(MSEUr, Q3)","const(DTUr, Q1)","[[], [3]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.312
157,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","dec(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.311
158,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.31
159,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.308
160,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.307
161,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.305
162,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.304
163,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.302
164,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.3
165,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.299
166,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.299
167,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.298
168,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.297
169,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.296
